Prey-Id,SA Date-Time,Signal Time,Spider-Id,Distance From Spider,Trip No
g_w,2019-01-01 10:13:00,2019-01-01 10:13:00,0,3.53,1.0

rd_end_south,2019-01-01 10:18:00,2019-01-01 10:18:00,0,7.22,1.0

y_gy1,2019-01-01 10:36:00,2019-01-01 10:36:00,2,5.83,1.0

w_rs,2019-01-01 10:45:00,2019-01-01 10:45:00,1,5.47,1.0

v_rt,2019-01-01 10:48:00,2019-01-01 10:48:00,2,10.91,1.0

bstub_w,2019-01-01 11:00:00,2019-01-01 11:00:00,0,1.66,1.0

o_gy2,2019-01-01 11:06:00,2019-01-01 11:06:00,1,3.77,1.0

rs_end_north,2019-01-01 11:07:00,2019-01-01 11:07:00,2,6.25,1.0

v_rc,2019-01-01 11:12:00,2019-01-01 11:12:00,1.0,11.02,1.0

v_rs,2019-01-01 11:15:00,2019-01-01 11:15:00,2,0.0,1.0

b_tt_3,2019-01-01 11:20:00,2019-01-01 11:20:00,1,2.14,1.0

rd_end_south_dupe,2019-01-01 11:23:00,2019-01-01 11:23:00,0,3.06,2.0

w_rt,2019-01-01 11:28:00,2019-01-01 11:28:00,1.0,8.94,1.0

rh_end_south,2019-01-01 11:30:00,2019-01-01 11:30:00,0,14.07,1.0

rc_end_south,2019-01-01 11:46:00,2019-01-01 11:46:00,1,9.23,1.0

rs_end_north,2019-01-01 11:54:00,2019-01-01 11:54:00,2,3.82,1.0

rs_end_north,2019-01-01 11:57:00,2019-01-01 11:57:00,0,14.73,2.0

w_rt,2019-01-01 12:12:00,2019-01-01 12:12:00,0,12.94,2.0

v_end_west,2019-01-01 12:17:00,2019-01-01 12:17:00,0,12.43,2.0

b_rc,2019-01-01 12:23:00,2019-01-01 12:23:00,0,10.16,2.0

rd_end_south_dupe,2019-01-01 12:29:00,2019-01-01 12:29:00,0,11.43,2.0

b_rt,2019-01-01 12:36:00,2019-01-01 12:36:00,0,9.18,2.0

g_rt,2019-01-01 13:16:00,2019-01-01 13:16:00,0,3.37,2.0

g_rt,2019-01-01 13:17:00,2019-01-01 13:17:00,1,17.12,2.0

park_east,2019-01-01 13:23:00,2019-01-01 13:23:00,2,5.35,2.0

o_rh,2019-01-02 06:05:00,2019-01-02 06:05:00,0,3.21,1.0

w_gy2,2019-01-02 06:06:00,2019-01-02 06:06:00,1,2.18,1.0

b_tt_3,2019-01-02 06:08:00,2019-01-02 06:08:00,2,7.72,1.0

rh_end_tt_3,2019-01-02 06:14:00,2019-01-02 06:14:00,0,3.17,1.0

o_gy1,2019-01-02 06:20:00,2019-01-02 06:20:00,2,5.58,1.0

y_gy1,2019-01-02 06:21:00,2019-01-02 06:21:00,1,8.91,1.0

o_w_1,2019-01-02 06:28:00,2019-01-02 06:28:00,0,3.56,1.0

o_rh,2019-01-02 06:34:00,2019-01-02 06:34:00,0,1.63,1.0

rt_end_north,2019-01-02 06:57:00,2019-01-02 06:57:00,2,8.86,1.0

rh_end_south,2019-01-02 06:58:00,2019-01-02 06:58:00,0,5.67,1.0

park_east,2019-01-02 07:09:00,2019-01-02 07:09:00,1,7.79,1.0

b_tt_2,2019-01-02 07:11:00,2019-01-02 07:11:00,2,3.36,1.0

b_bv,2019-01-02 07:20:00,2019-01-02 07:20:00,1,9.48,1.0

b_tt_2,2019-01-02 07:23:00,2019-01-02 07:23:00,2,1.6,1.0

w_rc,2019-01-02 07:25:00,2019-01-02 07:25:00,1,7.26,1.0

o_gy2,2019-01-02 07:36:00,2019-01-02 07:36:00,1,3.77,1.0

w_gy1,2019-01-02 07:39:00,2019-01-02 07:39:00,2,8.41,1.0

o_gy2,2019-01-02 07:40:00,2019-01-02 07:40:00,1,2.03,1.0

y_gy2,2019-01-02 07:56:00,2019-01-02 07:56:00,1,3.45,1.0

y_rh,2019-01-02 08:14:00,2019-01-02 08:14:00,0,0.0,1.0

b_rs,2019-01-02 08:28:00,2019-01-02 08:28:00,1,7.0,1.0

w_bw,2019-01-02 08:39:00,2019-01-02 08:39:00,2,5.07,1.0

w_rc,2019-01-02 08:52:00,2019-01-02 08:52:00,1,5.58,1.0

v_rd,2019-01-02 08:55:00,2019-01-02 08:55:00,0,10.97,1.0

b_tt_2_dupe,2019-01-02 09:11:00,2019-01-02 09:11:00,2,6.69,1.0

v_rh,2019-01-02 09:15:00,2019-01-02 09:15:00,2,5.57,1.0

b_rs,2019-01-02 09:24:00,2019-01-02 09:24:00,1,5.39,1.0

y_rs,2019-01-02 09:25:00,2019-01-02 09:25:00,2.0,12.42,1.0

o_w_1,2019-01-02 09:31:00,2019-01-02 09:31:00,0,9.01,1.0

rs_end_south,2019-01-02 09:34:00,2019-01-02 09:34:00,2,3.82,1.0

rh_end_north,2019-01-02 09:48:00,2019-01-02 09:48:00,0,10.12,1.0

rs_end_south,2019-01-02 09:50:00,2019-01-02 09:50:00,2,2.13,1.0

w_gy2,2019-01-02 09:58:00,2019-01-02 09:58:00,1.0,5.38,1.0

b_tt_2,2019-01-02 10:03:00,2019-01-02 10:03:00,0,5.57,1.0

g_rs,2019-01-02 10:06:00,2019-01-02 10:06:00,1,3.8,1.0

b_bv,2019-01-02 10:07:00,2019-01-02 10:07:00,2,9.19,1.0

rh_end_tt_3,2019-01-02 10:14:00,2019-01-02 10:14:00,0,10.03,1.0

w_bw,2019-01-02 10:28:00,2019-01-02 10:28:00,0,5.1,1.0

o_y_tt_end_west,2019-01-02 10:36:00,2019-01-02 10:36:00,0,5.22,1.0

b_end_west,2019-01-02 11:01:00,2019-01-02 11:01:00,1,24.62,2.0

g_gy1,2019-01-02 11:42:00,2019-01-02 11:42:00,1,11.22,2.0

v_rc,2019-01-02 11:49:00,2019-01-02 11:49:00,1,7.26,2.0

o_tt,2019-01-02 11:54:00,2019-01-02 11:54:00,1,10.18,2.0

o_w_2,2019-01-02 12:19:00,2019-01-02 12:19:00,1,6.0,2.0

o_w_2,2019-01-02 12:27:00,2019-01-02 12:27:00,1,1.68,2.0

b_end_west,2019-01-02 12:32:00,2019-01-02 12:32:00,1,15.34,2.0

rd_end_south,2019-01-02 12:33:00,2019-01-02 12:33:00,2,24.17,2.0

rs_end_north,2019-01-02 12:35:00,2019-01-02 12:35:00,0,14.73,2.0

b_tt_3_dupe,2019-01-02 12:37:00,2019-01-02 12:37:00,2.0,12.9,2.0

b_g,2019-01-03 06:05:00,2019-01-03 06:05:00,1,1.76,1.0

y_rs,2019-01-03 06:16:00,2019-01-03 06:16:00,1,5.13,1.0

nature_end_west,2019-01-03 06:34:00,2019-01-03 06:34:00,0,6.98,1.0

v_rs,2019-01-03 06:50:00,2019-01-03 06:50:00,1,7.15,1.0

b_rh,2019-01-03 07:14:00,2019-01-03 07:14:00,0,8.45,1.0

o_w_1,2019-01-03 07:26:00,2019-01-03 07:26:00,2,1.89,1.0

rh_end_tt_4,2019-01-03 07:27:00,2019-01-03 07:27:00,0,8.14,1.0

g_gy1,2019-01-03 07:41:00,2019-01-03 07:41:00,2,1.74,1.0

o_gy1,2019-01-03 07:46:00,2019-01-03 07:46:00,2,0.0,1.0

b_rd_dupe,2019-01-03 07:47:00,2019-01-03 07:47:00,0,11.85,1.0

rh_end_tt_3,2019-01-03 07:49:00,2019-01-03 07:49:00,0,10.35,1.0

b_bv,2019-01-03 08:02:00,2019-01-03 08:02:00,1,2.19,1.0

w_gy2,2019-01-03 08:08:00,2019-01-03 08:08:00,1,5.41,1.0

b_tt_2_dupe,2019-01-03 08:11:00,2019-01-03 08:11:00,2,8.35,1.0

v_rh,2019-01-03 08:22:00,2019-01-03 08:22:00,0,8.13,1.0

v_rh,2019-01-03 08:27:00,2019-01-03 08:27:00,0,1.69,1.0

w_rc,2019-01-03 08:35:00,2019-01-03 08:35:00,1,9.15,1.0

b_bw,2019-01-03 08:37:00,2019-01-03 08:37:00,2,3.28,1.0

v_rc,2019-01-03 08:42:00,2019-01-03 08:42:00,1,6.69,1.0

y_rt,2019-01-03 08:47:00,2019-01-03 08:47:00,2,6.63,1.0

rh_end_tt_3,2019-01-03 08:50:00,2019-01-03 08:50:00,0,8.0,1.0

w_gy2,2019-01-03 08:53:00,2019-01-03 08:53:00,1,9.34,1.0

b_rd_dupe,2019-01-03 08:58:00,2019-01-03 08:58:00,0,10.29,1.0

v_rh,2019-01-03 09:14:00,2019-01-03 09:14:00,2.0,10.35,1.0

b_o,2019-01-03 09:18:00,2019-01-03 09:18:00,1,3.41,1.0

g_gy1,2019-01-03 09:29:00,2019-01-03 09:29:00,2,6.88,1.0

y_gy2,2019-01-03 09:35:00,2019-01-03 09:35:00,1,3.68,1.0

b_g,2019-01-03 09:52:00,2019-01-03 09:52:00,1,5.68,1.0

y_rc,2019-01-03 10:09:00,2019-01-03 10:09:00,2,8.73,1.0

tt_rt,2019-01-03 10:11:00,2019-01-03 10:11:00,2,10.14,1.0

rs_end_north,2019-01-03 10:26:00,2019-01-03 10:26:00,1,7.65,1.0

g_rc,2019-01-03 10:38:00,2019-01-03 10:38:00,2.0,5.66,1.0

g_rs,2019-01-03 10:49:00,2019-01-03 10:49:00,1,3.52,1.0

w_gy2,2019-01-03 11:06:00,2019-01-03 11:06:00,2,9.7,1.0

o_w_1,2019-01-03 11:07:00,2019-01-03 11:07:00,0,10.82,1.0

rh_end_tt_2,2019-01-03 11:28:00,2019-01-03 11:28:00,0,1.71,1.0

b_tt_3_dupe,2019-01-03 11:38:00,2019-01-03 11:38:00,0,11.65,1.0

b_bw,2019-01-03 12:02:00,2019-01-03 12:02:00,0,5.02,1.0

o_rc,2019-01-03 12:20:00,2019-01-03 12:20:00,2,7.73,1.0

o_w_2,2019-01-03 12:22:00,2019-01-03 12:22:00,1,10.62,2.0

b_rt,2019-01-04 06:19:00,2019-01-04 06:19:00,2,5.3,1.0

y_rh,2019-01-04 06:23:00,2019-01-04 06:23:00,0,7.14,1.0

v_end_west,2019-01-04 06:48:00,2019-01-04 06:48:00,0,10.7,1.0

w_rs,2019-01-04 06:52:00,2019-01-04 06:52:00,1,1.6,1.0

w_rs,2019-01-04 06:58:00,2019-01-04 06:58:00,1,1.6,1.0

b_tt_1,2019-01-04 07:05:00,2019-01-04 07:05:00,2,5.16,1.0

g_w,2019-01-04 07:07:00,2019-01-04 07:07:00,2,3.45,1.0

rd_end_north,2019-01-04 07:10:00,2019-01-04 07:10:00,0,3.71,1.0

b_bw,2019-01-04 07:19:00,2019-01-04 07:19:00,2,1.81,1.0

rd_end_south_dupe,2019-01-04 07:38:00,2019-01-04 07:38:00,0,4.81,1.0

rh_end_north,2019-01-04 07:40:00,2019-01-04 07:40:00,2,8.7,1.0

b_gy2,2019-01-04 07:42:00,2019-01-04 07:42:00,1,2.16,1.0

b_rt,2019-01-04 07:53:00,2019-01-04 07:53:00,2,5.53,1.0

y_rs,2019-01-04 08:04:00,2019-01-04 08:04:00,1,5.13,1.0

b_tt_1,2019-01-04 08:16:00,2019-01-04 08:16:00,2,2.08,1.0

w_tt,2019-01-04 08:17:00,2019-01-04 08:17:00,0,5.33,1.0

v_rt,2019-01-04 08:33:00,2019-01-04 08:33:00,2,1.76,1.0

v_end_east,2019-01-04 08:42:00,2019-01-04 08:42:00,1,9.52,1.0

b_rc,2019-01-04 08:55:00,2019-01-04 08:55:00,2,5.48,1.0

y_gy1,2019-01-04 08:56:00,2019-01-04 08:56:00,0,9.48,1.0

v_rs,2019-01-04 09:10:00,2019-01-04 09:10:00,1,0.0,1.0

b_rd,2019-01-04 09:14:00,2019-01-04 09:14:00,0,10.95,1.0

w_bw,2019-01-04 09:23:00,2019-01-04 09:23:00,0,5.12,1.0

rd_end_south,2019-01-04 09:24:00,2019-01-04 09:24:00,2,11.08,1.0

b_tt_2,2019-01-04 09:35:00,2019-01-04 09:35:00,0,6.86,1.0

w_rt,2019-01-04 09:39:00,2019-01-04 09:39:00,0,6.38,1.0

v_rc,2019-01-04 09:41:00,2019-01-04 09:41:00,1,5.75,1.0

b_y,2019-01-04 09:52:00,2019-01-04 09:52:00,1,11.11,1.0

b_end_west,2019-01-04 10:03:00,2019-01-04 10:03:00,2,5.28,1.0

rt_end_north,2019-01-04 10:16:00,2019-01-04 10:16:00,0,8.52,1.0

rh_end_north,2019-01-04 10:19:00,2019-01-04 10:19:00,2,5.98,1.0

y_gy1,2019-01-04 10:31:00,2019-01-04 10:31:00,0,11.9,1.0

b_gy2,2019-01-04 10:40:00,2019-01-04 10:40:00,1,3.24,1.0

y_rc,2019-01-04 10:42:00,2019-01-04 10:42:00,0,3.52,1.0

b_rs,2019-01-04 10:44:00,2019-01-04 10:44:00,1,5.41,1.0

rc_end_north,2019-01-04 10:49:00,2019-01-04 10:49:00,1.0,9.73,1.0

o_w_2,2019-01-04 10:56:00,2019-01-04 10:56:00,1,6.69,1.0

b_o,2019-01-04 11:21:00,2019-01-04 11:21:00,1,7.05,1.0

b_g,2019-01-04 11:25:00,2019-01-04 11:25:00,0.0,9.3,2.0

o_rc,2019-01-04 11:43:00,2019-01-04 11:43:00,0,7.73,2.0

b_tt_3_dupe,2019-01-04 12:01:00,2019-01-04 12:01:00,0,5.38,2.0

rt_end_south,2019-01-04 12:32:00,2019-01-04 12:32:00,0.0,11.71,2.0

o_w_2,2019-01-04 12:33:00,2019-01-04 12:33:00,2,11.2,1.0

o_rs,2019-01-04 12:50:00,2019-01-04 12:50:00,0,7.83,2.0

rh_end_south,2019-01-04 13:03:00,2019-01-04 13:03:00,0,9.75,2.0

b_tt_1,2019-01-04 13:13:00,2019-01-04 13:13:00,0,10.32,2.0

o_rc,2019-01-04 13:18:00,2019-01-04 13:18:00,0,11.19,2.0

g_gy2,2019-01-04 13:20:00,2019-01-04 13:20:00,0,9.86,2.0

v_rt,2019-01-04 13:21:00,2019-01-04 13:21:00,1,18.7,2.0

b_rd_dupe,2019-01-04 14:00:00,2019-01-04 14:00:00,1,9.72,2.0

w_rc,2019-01-05 06:11:00,2019-01-05 06:11:00,2,3.79,1.0

b_rs,2019-01-05 06:12:00,2019-01-05 06:12:00,1,3.37,1.0

y_gy1,2019-01-05 06:18:00,2019-01-05 06:18:00,2,1.73,1.0

b_rc,2019-01-05 06:22:00,2019-01-05 06:22:00,1,5.54,1.0

w_gy1,2019-01-05 06:33:00,2019-01-05 06:33:00,2,0.0,1.0

nature_end_west,2019-01-05 06:35:00,2019-01-05 06:35:00,0,6.98,1.0

b_bw,2019-01-05 06:40:00,2019-01-05 06:40:00,0,3.7,1.0

o_gy2,2019-01-05 06:46:00,2019-01-05 06:46:00,1,7.16,1.0

rd_end_south,2019-01-05 07:04:00,2019-01-05 07:04:00,0,7.22,1.0

b_g,2019-01-05 07:30:00,2019-01-05 07:30:00,1,5.2,1.0

g_w,2019-01-05 07:37:00,2019-01-05 07:37:00,2,3.68,1.0

rh_end_tt_4,2019-01-05 08:00:00,2019-01-05 08:00:00,2,5.35,1.0

b_rc,2019-01-05 08:05:00,2019-01-05 08:05:00,1,7.3,1.0

g_w,2019-01-05 08:07:00,2019-01-05 08:07:00,2,5.4,1.0

w_gy1,2019-01-05 08:12:00,2019-01-05 08:12:00,2,3.65,1.0

y_rt,2019-01-05 08:14:00,2019-01-05 08:14:00,2,5.34,1.0

w_gy1,2019-01-05 08:16:00,2019-01-05 08:16:00,2,2.03,1.0

w_rc,2019-01-05 08:34:00,2019-01-05 08:34:00,1,3.58,1.0

w_rt,2019-01-05 08:47:00,2019-01-05 08:47:00,2,0.0,1.0

b_rt,2019-01-05 08:56:00,2019-01-05 08:56:00,2,4.93,1.0

rh_end_tt_3,2019-01-05 09:10:00,2019-01-05 09:10:00,0,8.54,1.0

o_gy1,2019-01-05 09:37:00,2019-01-05 09:37:00,1.0,2.43,1.0

rh_end_tt_3,2019-01-05 09:47:00,2019-01-05 09:47:00,0,1.56,1.0

y_gy2,2019-01-05 10:12:00,2019-01-05 10:12:00,1,6.87,1.0

rc_end_north,2019-01-05 10:18:00,2019-01-05 10:18:00,2,9.89,1.0

v_rs,2019-01-05 10:20:00,2019-01-05 10:20:00,1.0,8.84,1.0

b_y,2019-01-05 10:33:00,2019-01-05 10:33:00,1,7.29,1.0

b_bw,2019-01-05 10:38:00,2019-01-05 10:38:00,0,6.91,1.0

g_gy1,2019-01-05 10:41:00,2019-01-05 10:41:00,2,5.4,1.0

y_rc,2019-01-05 10:48:00,2019-01-05 10:48:00,0,10.6,1.0

b_tt_3_dupe,2019-01-05 10:54:00,2019-01-05 10:54:00,0,12.48,1.0

w_gy1,2019-01-05 11:01:00,2019-01-05 11:01:00,0,9.48,1.0

tt_rt,2019-01-05 11:04:00,2019-01-05 11:04:00,0,6.86,1.0

w_gy1,2019-01-05 11:22:00,2019-01-05 11:22:00,0,6.85,1.0

o_rc,2019-01-05 11:24:00,2019-01-05 11:24:00,1,8.73,1.0

v_rs,2019-01-05 11:26:00,2019-01-05 11:26:00,1,7.23,1.0

w_rs,2019-01-05 12:04:00,2019-01-05 12:04:00,1,3.47,1.0

v_rh,2019-01-05 12:06:00,2019-01-05 12:06:00,0,10.35,1.0

o_tt,2019-01-05 12:11:00,2019-01-05 12:11:00,0,10.18,1.0

b_rs,2019-01-05 12:14:00,2019-01-05 12:14:00,0,9.63,1.0

w_gy2,2019-01-05 12:15:00,2019-01-05 12:15:00,1.0,7.04,2.0

v_rc,2019-01-05 12:18:00,2019-01-05 12:18:00,1,11.05,2.0

y_rt,2019-01-05 12:22:00,2019-01-05 12:22:00,1,10.75,2.0

b_w,2019-01-05 12:32:00,2019-01-05 12:32:00,1,9.45,2.0

v_rc,2019-01-05 12:40:00,2019-01-05 12:40:00,1,7.31,2.0

v_bv,2019-01-06 06:03:00,2019-01-06 06:03:00,1,7.19,1.0

b_g,2019-01-06 06:07:00,2019-01-06 06:07:00,1,3.8,1.0

rh_end_tt_3,2019-01-06 06:10:00,2019-01-06 06:10:00,0,4.77,1.0

tt_rt,2019-01-06 06:16:00,2019-01-06 06:16:00,2,6.86,1.0

b_rd_dupe,2019-01-06 06:17:00,2019-01-06 06:17:00,0,10.29,1.0

b_rd,2019-01-06 06:19:00,2019-01-06 06:19:00,0,0.0,1.0

tt_rt,2019-01-06 06:27:00,2019-01-06 06:27:00,2,1.56,1.0

y_rh,2019-01-06 06:39:00,2019-01-06 06:39:00,0,10.37,1.0

nature_end_west,2019-01-06 06:44:00,2019-01-06 06:44:00,0,1.76,1.0

w_bw,2019-01-06 06:47:00,2019-01-06 06:47:00,2,3.54,1.0

o_rt,2019-01-06 07:08:00,2019-01-06 07:08:00,2,4.95,1.0

o_w_2,2019-01-06 07:17:00,2019-01-06 07:17:00,1,5.39,1.0

b_rc,2019-01-06 07:19:00,2019-01-06 07:19:00,1,5.75,1.0

o_w_2,2019-01-06 07:22:00,2019-01-06 07:22:00,1,3.39,1.0

rc_end_south,2019-01-06 07:32:00,2019-01-06 07:32:00,2,10.81,1.0

o_y_tt_end_west,2019-01-06 07:35:00,2019-01-06 07:35:00,0,0.0,1.0

rh_end_tt_4,2019-01-06 07:40:00,2019-01-06 07:40:00,0,3.3,1.0

v_bv,2019-01-06 07:47:00,2019-01-06 07:47:00,1,6.94,1.0

o_gy1,2019-01-06 07:56:00,2019-01-06 07:56:00,2,5.28,1.0

v_rc,2019-01-06 07:59:00,2019-01-06 07:59:00,1,0.0,1.0

b_y,2019-01-06 08:00:00,2019-01-06 08:00:00,0,13.59,1.0

o_y_tt_end_west,2019-01-06 08:04:00,2019-01-06 08:04:00,2,7.66,1.0

rc_end_north,2019-01-06 09:11:00,2019-01-06 09:11:00,1,4.19,1.0

b_rc,2019-01-06 09:22:00,2019-01-06 09:22:00,1,1.56,1.0

b_end_west,2019-01-06 10:03:00,2019-01-06 10:03:00,2,12.92,1.0

rh_end_tt_3,2019-01-06 10:05:00,2019-01-06 10:05:00,2,8.54,1.0

o_tt,2019-01-06 10:14:00,2019-01-06 10:14:00,2,1.63,1.0

rd_end_south_dupe,2019-01-06 10:52:00,2019-01-06 10:52:00,2,10.04,1.0

b_o,2019-01-06 10:54:00,2019-01-06 10:54:00,0,3.29,1.0

g_rc,2019-01-06 11:21:00,2019-01-06 11:21:00,1,3.3,1.0

g_gy1,2019-01-06 11:27:00,2019-01-06 11:27:00,1,3.84,1.0

rs_end_south,2019-01-06 11:43:00,2019-01-06 11:43:00,0,5.58,1.0

rt_end_north,2019-01-06 11:47:00,2019-01-06 11:47:00,1,7.58,1.0

w_rs,2019-01-06 11:48:00,2019-01-06 11:48:00,0,3.53,1.0

o_y_tt_end_west,2019-01-06 11:54:00,2019-01-06 11:54:00,2,10.55,1.0

rs_end_north,2019-01-06 12:07:00,2019-01-06 12:07:00,0,9.13,1.0

y_rt,2019-01-06 12:16:00,2019-01-06 12:16:00,2,3.69,1.0

w_rs,2019-01-06 12:22:00,2019-01-06 12:22:00,0,5.31,1.0

b_tt_3,2019-01-06 12:38:00,2019-01-06 12:38:00,1,5.1,1.0

y_rc,2019-01-06 12:47:00,2019-01-06 12:47:00,2,9.68,2.0

y_gy2,2019-01-06 12:51:00,2019-01-06 12:51:00,2,1.76,2.0

y_rs,2019-01-06 12:53:00,2019-01-06 12:53:00,0,7.33,2.0

g_rc,2019-01-06 13:04:00,2019-01-06 13:04:00,2,6.82,2.0

y_rh,2019-01-06 13:10:00,2019-01-06 13:10:00,2,9.4,2.0

b_rd,2019-01-07 06:26:00,2019-01-07 06:26:00,0,5.58,1.0

w_gy1,2019-01-07 06:35:00,2019-01-07 06:35:00,2,1.76,1.0

rh_end_north,2019-01-07 06:58:00,2019-01-07 06:58:00,0,3.58,1.0

tt_rt,2019-01-07 07:13:00,2019-01-07 07:13:00,2,6.86,1.0

rd_end_south_dupe,2019-01-07 07:15:00,2019-01-07 07:15:00,0,6.92,1.0

y_rh,2019-01-07 07:17:00,2019-01-07 07:17:00,2,8.64,1.0

o_gy1,2019-01-07 07:20:00,2019-01-07 07:20:00,2,5.34,1.0

rh_end_tt_2,2019-01-07 07:24:00,2019-01-07 07:24:00,0,6.93,1.0

y_gy1,2019-01-07 07:31:00,2019-01-07 07:31:00,2,5.38,2.0

rs_end_south,2019-01-07 07:32:00,2019-01-07 07:32:00,1,7.26,1.0

b_rc,2019-01-07 07:33:00,2019-01-07 07:33:00,1,7.3,1.0

v_rd,2019-01-07 07:34:00,2019-01-07 07:34:00,0,5.75,1.0

b_g,2019-01-07 07:42:00,2019-01-07 07:42:00,1,3.8,1.0

g_rt,2019-01-07 07:43:00,2019-01-07 07:43:00,2,5.21,1.0

rd_end_north,2019-01-07 07:45:00,2019-01-07 07:45:00,0,3.71,1.0

rh_end_tt_4,2019-01-07 07:55:00,2019-01-07 07:55:00,2,7.06,1.0

rh_end_south,2019-01-07 08:03:00,2019-01-07 08:03:00,2,4.98,1.0

v_end_east,2019-01-07 08:06:00,2019-01-07 08:06:00,1,5.89,1.0

rd_end_south,2019-01-07 08:07:00,2019-01-07 08:07:00,0,3.31,2.0

g_gy2,2019-01-07 08:09:00,2019-01-07 08:09:00,1,5.67,1.0

g_rs,2019-01-07 08:15:00,2019-01-07 08:15:00,1,1.58,1.0

v_rt,2019-01-07 08:34:00,2019-01-07 08:34:00,2,11.96,1.0

w_gy2,2019-01-07 08:36:00,2019-01-07 08:36:00,1,3.8,1.0

w_gy1,2019-01-07 09:04:00,2019-01-07 09:04:00,2,8.41,1.0

b_rd_dupe,2019-01-07 09:12:00,2019-01-07 09:12:00,0,1.5,1.0

y_rc,2019-01-07 09:16:00,2019-01-07 09:16:00,2,5.55,1.0

b_g,2019-01-07 09:19:00,2019-01-07 09:19:00,1,2.22,1.0

o_rs,2019-01-07 09:35:00,2019-01-07 09:35:00,1,6.77,2.0

y_rt,2019-01-07 09:36:00,2019-01-07 09:36:00,2,2.0,1.0

b_rd,2019-01-07 09:38:00,2019-01-07 09:38:00,0,0.0,1.0

o_rs,2019-01-07 09:42:00,2019-01-07 09:42:00,1,2.03,2.0

g_gy1,2019-01-07 09:43:00,2019-01-07 09:43:00,2,5.23,1.0

w_gy1,2019-01-07 09:51:00,2019-01-07 09:51:00,0,11.97,1.0

rt_end_south,2019-01-07 09:55:00,2019-01-07 09:55:00,0,3.6,1.0

b_o,2019-01-07 10:04:00,2019-01-07 10:04:00,1,5.25,2.0

b_w,2019-01-07 10:17:00,2019-01-07 10:17:00,1,5.37,2.0

b_bw,2019-01-07 10:20:00,2019-01-07 10:20:00,0,8.36,1.0

b_rt,2019-01-07 10:28:00,2019-01-07 10:28:00,0,0.0,1.0

w_rs,2019-01-07 10:30:00,2019-01-07 10:30:00,1,3.76,2.0

y_rt,2019-01-07 10:51:00,2019-01-07 10:51:00,1,10.91,2.0

b_rd,2019-01-07 11:10:00,2019-01-07 11:10:00,1,12.95,2.0

rh_end_south,2019-01-07 11:16:00,2019-01-07 11:16:00,1,11.97,2.0

y_gy1,2019-01-07 11:20:00,2019-01-07 11:20:00,1,4.01,2.0

